도서명,보유권수,작가,목표장르,기존서가
그린 블러드,1~5권,미상,드라마/스포츠/SF,62
빈란드 사가,1~19권,미상,판타지/무협,62
지박소년 하나코 군,1~25권,아이다이로,판타지/무협,62
캇페이,1~6권,미상,판타지/무협,62
흑신,1~19권,미상,액션/모험,62
GACHIAKUTA (가치아쿠타),1~16권,미상,판타지/무협,62
무지개색 가면,1~7권,미상,판타지/무협,62
바스타드-암흑의 파괴신,1~27권,미상,판타지/무협,62
여자 제갈량,1~3권,웹툰 작가,웹툰,27
이태원 클라쓰,1~8권,웹툰 작가,웹툰,27
오늘도 핸드메이드!,1~3권,웹툰 작가,웹툰,27
오리진: 세상 모든 것의 기원,1~3권,웹툰 작가,웹툰,27
나 혼자만 레벨업,1~15권,장성락/추공,웹툰,26
나 혼자만 레벨업 라그나로크,1~3권,웹툰 작가,웹툰,26
롱 리브 더 킹 시즌2,1~9권,버드나무숲,웹툰,26
운빨 로맨스,1~3권,김달님,웹툰,27
오늘도 사랑스럽 개,1~9권,이혜,웹툰,27
윌유메리미,1~3권,웹툰 작가,웹툰,27
소녀의 세계,1~9권,모랑지,웹툰,27
이웃 사람,1~3권,웹툰 작가,웹툰,27
여신강림,1~19권,야옹이,웹툰,27
저녁 같이 드실래요?,1~3권,웹툰 작가,웹툰,28
찌질의 역사,1~8권,웹툰 작가,웹툰,28
이상하고 아름다운,1~9권,웹툰 작가,웹툰,27
진눈깨비 소년,1~3권,웹툰 작가,웹툰,28
전지적 독자 시점,1~14권,슬리피,웹툰,28
조명가게,1~3권,강풀,웹툰,28
창백한 말,1~3권,웹툰 작가,웹툰,28
캐셔로,1~2권,team befar,액션/모험,28
타이밍,1~3권,강풀,웹툰,28
실,1~10권,보리,웹툰,27
어게인,보유,웹툰 작가,웹툰,27
아 지갑놓고나왔다,1~10권,웹툰 작가,웹툰,27
타인은 지옥이다,1~3권,김용키,웹툰,28
투명한 동거,1~3권,웹툰 작가,웹툰,28
닥터 프로스트 시즌2,1~11권,사루와타리 테츠야,액션/모험,26
연놈,1~11권,상하,웹툰,27
스위트 홈,1~12권,김칸비,웹툰,27
괴물 같은 아이돌,1~4권,웹툰 작가,웹툰,28
놓지마 정신줄,1~12권,신태훈/나승훈,웹툰,28
그다이,보유,최용성,웹툰,28
극한견주,1~4권,웹툰 작가,웹툰,28
너를 찾는 파도,1~4권,웹툰 작가,웹툰,28
어쿠스틱 라이프,1~12권,난다,웹툰,27
시든 꽃에 눈물을,1~4권,웹툰 작가,웹툰,27
낮에 뜨는 달,1~5권,헤윰,웹툰,28
녹두전 4/,보유,웹툰 작가,웹툰,28
너의 하트(Heart)를 나에게 줄래?,1~4권,웹툰 작가,웹툰,28
유미의 세포들,1~13권,이동건,웹툰,27
쌍갑포차,1~14권,배혜수,웹툰,27
당신의 모든 순간,1~4권,강풀,웹툰,26
/ 미생 시즌2,1~13권,웹툰 작가,웹툰,26
외모지상주의,1~16권,박태준,웹툰,27
윈드브레이커,1~16권,조용석,웹툰,27
마음의 소리 레전드 100,1~4권,조석,웹툰,26
마녀 4/,보유,웹툰 작가,웹툰,26
마조앤새디,1~4권,웹툰 작가,웹툰,26
이런 영웅은 싫어,1~27권,삼촌,웹툰,27
슈퍼시크릿,1~4권,웹툰 작가,웹툰,27
먹는 존재 Season 2,1~4권,웹툰 작가,웹툰,26
가우스 전자,보유,웹툰 작가,웹툰,26
모럴센스,1~4권,겨울,웹툰,26
개인적인 택시,보유,웹툰 작가,웹툰,26
못 잡아먹어 안달,1~4권,웹툰 작가,웹툰,26
고양이 낸시,보유,웹툰 작가,웹툰,26
문유,1~4권,조석,웹툰,26
그래일기,보유,웹툰 작가,웹툰,26
기기괴괴: 성형수,보유,웹툰 작가,웹툰,28
기기괴괴: 아내의 기억,보유,웹툰 작가,웹툰,28
기기괴괴: 아프리카에서 생긴 일,보유,웹툰 작가,웹툰,28
기기괴괴: 저주받은 갤러리,보유,웹툰 작가,웹툰,28
기기괴괴: 키베이루의 서재,보유,웹툰 작가,웹툰,28
캔디 캔디,1~8권,미상,판타지/무협,68
하늘은 붉은 강가,1~16권,미상,로맨스/로판,68
베르사유의 장미 완전판,1~9권,미상,코믹스/그래픽노블,68
프린세스,1~31권,미상,로맨스/로판,68
미소녀 전사 세일러 문,1~10권,미상,코믹스/그래픽노블,68
유리가면,1~49권,미상,코믹스/그래픽노블,68
레이디 빅토리안,1~10권,미상,코믹스/그래픽노블,68
꿈빛 파티시엘,1~12권,미상,로맨스/로판,68
열두가지 이야기 마블 슈퍼히어로,보유,미상,코믹스/그래픽노블,68
해리포터 마법사의 돌,보유,미상,코믹스/그래픽노블,68
토리코,1~15권,미상,액션/모험,21
"사랑하라 ,거짓된 천사들이여",1~5권,미상,코믹스/그래픽노블,57
새벽의 연화,1~47권,쿠사나기 미즈호,로맨스/로판,57
너를 너무너무너무너무 좋아하는 100명의 그녀,1~17권,미상,판타지/무협,22
달이 이끄는 이 세계 여행,1~6권,미상,코믹스/그래픽노블,2
터무니 없는 스킬로 이 세계 방랑밥,1~5권,미상,일상/개그,20
괴롭히지 말아요 나가토로 양,1~14권,미상,로맨스/로판,22
할아버지 할머니 회춘하다,1~1권,미상,로맨스/로판,22
캐릭캐릭 체인지!,1~5권,-,로맨스/로판,67
캐릭캐릭 체인지  jewel joker,1~3권,미상,코믹스/그래픽노블,67
정년이,1~10권,서이레,웹툰,28
"참아주세요, 대공",1~4권,웹툰 작가,웹툰,28
마왕인 내가 노예 엘프를 신부로 삼았는데 어떻게 사랑하면 되지?,1~3권,미상,액션/모험,50
아이돌리쉬 세븐 유성에 빌다,1~2권,미상,코믹스/그래픽노블,33
아이돌리쉬 세븐 트리거,보유,미상,코믹스/그래픽노블,33
완전 쓰레기인 와타라세인데,1~2권,미상,코믹스/그래픽노블,33
죠죠의 기묘한 모험,1~60권,미상,판타지/무협,61
더 죠죠랜드,1~1권,미상,판타지/무협,61
다이아몬드의 공죄,1~4권,미상,코믹스/그래픽노블,32
아혈의 음양사,1~5권,미상,로맨스/로판,32
격기 3반,1~12권,미상,액션/모험,32
킬러의 최애,1~2권,미상,코믹스/그래픽노블,32
블랙 쉽,1~3권,미상,코믹스/그래픽노블,32
타마의 포상,1~5권,미상,로맨스/로판,32
블루 아카이브 게임 개발부,1~2권,미상,코믹스/그래픽노블,32
사신 도련님과 검은 메이드,1~2권,미상,성인,45
유라쿠초 도깨비 과자점 7/,보유,미상,일상/개그,21
손끝과 연연,1~12권,수 모리시타,로맨스/로판,58
사카모토 데이즈,1~27권,유토 스즈키,일상/개그,58
하이큐!!,1~45권,후루다테 하루이치,드라마/스포츠/SF,58
렛츠! 하이큐?!,1~6권,미상,코믹스/그래픽노블,58
심연의 하늘,1~7권,윤인완,웹툰,27
what does the fox say?,보유,웹툰 작가,웹툰,27
노블레스 Season1 ~7 6완,보유,웹툰 작가,웹툰,27
사슴아이 어슬렁 어슬렁 호시탐탐,1~5권,미상,드라마/스포츠/SF,30
5등분의 신부,1~14권,하루바 네기,로맨스/로판,22
가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양,1~2권,미상,코믹스/그래픽노블,32
마법소녀 마도카 마기카,1~3권,미상,코믹스/그래픽노블,32
내가 본 미래 완전판,보유,미상,코믹스/그래픽노블,33
소원의 아스트로 2 /,보유,미상,코믹스/그래픽노블,33
코미 양은 커뮤증입니다,1~30권,미상,로맨스/로판,33
공주님 고문의 시간입니다,1~14권,미상,로맨스/로판,33
물에 빠진 나이프,1~17권,조지 아사쿠라,로맨스/로판,36
오빠 친구,1~5권,미상,로맨스/로판,36
건방진 천사,1~20권,미상,로맨스/로판,36
오늘부터 신령님,1~25권,스즈키 줄리에타,로맨스/로판,36
단다단,1~20권,타츠 유키노부,판타지/무협,58
나쁜 교육,1~2권,미상,로맨스/로판,37
예쁜 남자,1~17권,미상,로맨스/로판,37
동인백서,1~5권,미상,로맨스/로판,37
밤을 걷는 선비,1~19권,조주희,웹툰,37
꽃이 지더라도,1~7권,미상,스릴러/추리/호러,37
하백의 신부,1~24권,미상,액션/모험,37
